Kanal 1 Alpha,Kanal 1 Beta,Kanal 1 Theta,Kanal 2 Alpha,Kanal 2 Beta,Kanal 2 Theta,Event,Kanal 1 Alpha,Kanal 1 Beta,Kanal 1 Theta,Kanal 2 Alpha,Kanal 2 Beta,Kanal 2 Theta,Event,Kanal 1 Alpha,Kanal 1 Beta,Kanal 1 Theta,Kanal 2 Alpha,Kanal 2 Beta,Kanal 2 Theta
9273438.0,2726563.0,4898438.0,328125.0,257813.0,203125.0,,3783420.4,220277.4,-785027.4,-364133.5,-119939.3,-806975.1,,0.235283016,0.013004134,-0.054536016,-0.341731439,-0.291602643,-0.075855377
5476563.0,2507813.0,2585938.0,515625.0,617188.0,328125.0,,-13454.6,1527.4,-3097527.4,-176633.5,239435.7,-681975.1,,-0.000836714,9.01697E-05,-0.215185873,-0.165766721,0.582128557,-0.064105421
5015625.0,1914063.0,3992188.0,656250.0,304688.0,304688.0,,-474392.6,-592222.6,-1691277.4,-36008.5,-73064.3,-705412.1,,-0.029501486,-0.03496202,-0.117493392,-0.033793183,-0.177637704,-0.06630849
7859375.0,1437500.0,5187500.0,882813.0,296875.0,468750.0,,2369357.4,-1068785.6,-495965.4,190554.5,-80877.3,-541350.1,,0.14734539,-0.063096044,-0.034454819,0.178831319,-0.196633076,-0.05088672
5625000.0,2007813.0,3796875.0,710938.0,406250.0,304688.0,,134982.4,-498472.6,-1886590.4,18679.5,28497.7,-705412.1,,0.008394273,-0.029427464,-0.131061827,0.017530328,0.069285115,-0.06630849
8500000.0,1835938.0,4093750.0,695313.0,312500.0,515625.0,,3009982.4,-670347.6,-1589715.4,3054.5,-65252.3,-494475.1,,0.187184521,-0.03957415,-0.110437859,0.002866602,-0.158644763,-0.046480487
5890625.0,2203125.0,3851563.0,640625.0,304688.0,437500.0,,400607.4,-303160.6,-1831902.4,-51633.5,-73064.3,-572600.1,,0.024912938,-0.017897168,-0.12726264,-0.04845691,-0.177637704,-0.053824209
12828125.0,2359375.0,5859375.0,828125.0,562500.0,351563.0,,7338107.4,-146910.6,175909.6,135866.5,184747.7,-658537.1,,0.456341579,-0.008672907,0.012220477,0.127507807,0.449168245,-0.061902257
5625000.0,2945313.0,7937500.0,554688.0,273438.0,609375.0,,134982.4,439027.4,2254034.6,-137570.5,-104314.3,-400725.1,,0.008394273,0.025918099,0.156588254,-0.129106936,-0.25361433,-0.03766802
7781250.0,2179688.0,8289063.0,609375.0,335938.0,671875.0,,2291232.4,-326597.6,2605597.6,-82883.5,-41814.3,-338225.1,,0.142486959,-0.019280777,0.181011408,-0.077784363,-0.101661078,-0.031793042
9476563.0,2500000.0,4000000.0,585938.0,437500.0,414063.0,,3986545.4,-6285.6,-1683465.4,-106320.5,59747.7,-596037.1,,0.247914935,-0.000371073,-0.116950691,-0.099779483,0.145261741,-0.056027279
4023438.0,1609375.0,5000000.0,796875.0,250000.0,492188.0,,-1466579.6,-896910.6,-683465.4,104616.5,-127752.3,-517912.1,,-0.091203524,-0.052949357,-0.047480483,0.098180355,-0.310598015,-0.048683557
5750000.0,2054688.0,2453125.0,703125.0,390625.0,406250.0,,259982.4,-451597.6,-3230340.4,10866.5,12872.7,-603850.1,,0.016167762,-0.026660186,-0.22441242,0.010197996,0.031296802,-0.056761698
6312500.0,2531250.0,5609375.0,656250.0,585938.0,343750.0,,822482.4,24964.4,-74090.4,-36008.5,208185.7,-666350.1,,0.051148463,0.001473779,-0.005147075,-0.033793183,0.506151931,-0.062636676
6023438.0,2851563.0,3585938.0,648438.0,320313.0,500000.0,,533420.4,345277.4,-2097527.4,-43820.5,-57439.3,-510100.1,,0.033172301,0.020383543,-0.145715665,-0.041124577,-0.139649391,-0.047949232
8070313.0,3039063.0,6750000.0,640625.0,500000.0,570313.0,,2580295.4,532777.4,1066534.6,-51633.5,122247.7,-439787.1,,0.160463184,0.031452655,0.074092381,-0.04845691,0.297214993,-0.041339834
6218750.0,2929688.0,4546875.0,796875.0,343750.0,554688.0,,728732.4,423402.4,-1136590.4,104616.5,-34002.3,-455412.1,,0.045318346,0.024995673,-0.078959171,0.098180355,-0.082668137,-0.042808579
4976563.0,2156250.0,5039063.0,617188.0,375000.0,460938.0,,-513454.6,-350035.6,-644402.4,-75070.5,-2752.3,-549162.1,,-0.03193067,-0.020664446,-0.044766768,-0.07045203,-0.006691511,-0.051621046
5421875.0,2328125.0,3859375.0,664063.0,296875.0,421875.0,,-68142.6,-178160.6,-1824090.4,-28195.5,-80877.3,-588225.1,,-0.004237646,-0.010517759,-0.126719939,-0.026460851,-0.196633076,-0.055292954
5671875.0,2210938.0,3710938.0,710938.0,335938.0,546875.0,,181857.4,-295347.6,-1972527.4,18679.5,-41814.3,-463225.1,,0.011309332,-0.017435925,-0.137031889,0.017530328,-0.101661078,-0.043542998
5421875.0,1835938.0,4343750.0,679688.0,320313.0,367188.0,,-68142.6,-670347.6,-1339715.4,-12570.5,-57439.3,-642912.1,,-0.004237646,-0.03957415,-0.093070307,-0.011797125,-0.139649391,-0.060433513
7929688.0,1929688.0,6765625.0,710938.0,390625.0,679688.0,,2439670.4,-576597.6,1082159.6,18679.5,12872.7,-330412.1,,0.151718009,-0.034039594,0.075177853,0.017530328,0.031296802,-0.031058623
3843750.0,1578125.0,6703125.0,539063.0,343750.0,742188.0,,-1646267.6,-928160.6,1019659.6,-153195.5,-34002.3,-267912.1,,-0.102377945,-0.054794209,0.070835965,-0.143770663,-0.082668137,-0.025183645
6890625.0,1914063.0,6015625.0,742188.0,539063.0,765625.0,,1400607.4,-592222.6,332159.6,49929.5,161310.7,-244475.1,,0.08710085,-0.03496202,0.023075197,0.046857781,0.392186991,-0.022980575
